Date,Currency,Exchange
2024-01-01,USD,1.0
2024-01-01,CAD,1.32
2024-01-01,AUD,1.55
2024-01-01,EUR,0.92
2024-01-01,GBP,0.79
2024-01-02,USD,1.0
2024-01-02,CAD,1.32
2024-01-02,AUD,1.55
2024-01-02,EUR,0.92
2024-01-02,GBP,0.79
2024-01-03,USD,1.0
2024-01-03,CAD,1.32
2024-01-03,AUD,1.55
2024-01-03,EUR,0.92
2024-01-03,GBP,0.79
2024-01-04,USD,1.0
2024-01-04,CAD,1.32
2024-01-04,AUD,1.55
2024-01-04,EUR,0.92
2024-01-04,GBP,0.79
2024-01-05,USD,1.0
2024-01-05,CAD,1.32
2024-01-05,AUD,1.55
2024-01-05,EUR,0.92
2024-01-05,GBP,0.79
2024-01-06,USD,1.0
2024-01-06,CAD,1.32
2024-01-06,AUD,1.55
2024-01-06,EUR,0.92
2024-01-06,GBP,0.79
2024-01-07,USD,1.0
2024-01-07,CAD,1.32
2024-01-07,AUD,1.55
2024-01-07,EUR,0.92
2024-01-07,GBP,0.79
2024-01-08,USD,1.0
2024-01-08,CAD,1.32
2024-01-08,AUD,1.55
2024-01-08,EUR,0.92
2024-01-08,GBP,0.79
2024-01-09,USD,1.0
2024-01-09,CAD,1.32
2024-01-09,AUD,1.55
2024-01-09,EUR,0.92
2024-01-09,GBP,0.79
2024-01-10,USD,1.0
2024-01-10,CAD,1.32
2024-01-10,AUD,1.55
2024-01-10,EUR,0.92
2024-01-10,GBP,0.79
2024-01-11,USD,1.0
2024-01-11,CAD,1.32
2024-01-11,AUD,1.55
2024-01-11,EUR,0.92
2024-01-11,GBP,0.79
2024-01-12,USD,1.0
2024-01-12,CAD,1.32
2024-01-12,AUD,1.55
2024-01-12,EUR,0.92
2024-01-12,GBP,0.79
2024-01-13,USD,1.0
2024-01-13,CAD,1.32
2024-01-13,AUD,1.55
2024-01-13,EUR,0.92
2024-01-13,GBP,0.79
2024-01-14,USD,1.0
2024-01-14,CAD,1.32
2024-01-14,AUD,1.55
2024-01-14,EUR,0.92
2024-01-14,GBP,0.79
2024-01-15,USD,1.0
2024-01-15,CAD,1.32
2024-01-15,AUD,1.55
2024-01-15,EUR,0.92
2024-01-15,GBP,0.79
2024-01-16,USD,1.0
2024-01-16,CAD,1.32
2024-01-16,AUD,1.55
2024-01-16,EUR,0.92
